LEXICO LOG - file: algoritmo1.rs
Generated: 2025-11-10T18:10:51.324111
User: PaulPer37
============================================================

TOKENS
------------------------------------------------------------
LINE   42 | TYPE: PRINTLN      | POS:    973 | VALUE: 'println'
LINE   42 | TYPE: NOT          | POS:    980 | VALUE: '!'
LINE   42 | TYPE: LPAREN       | POS:    981 | VALUE: '('
LINE   42 | TYPE: ID           | POS:    982 | VALUE: 'i'
LINE   42 | TYPE: RPAREN       | POS:    983 | VALUE: ')'
LINE   42 | TYPE: SEMICOLON    | POS:    984 | VALUE: ';'
LINE   43 | TYPE: RBRACE       | POS:    998 | VALUE: '}'
LINE   44 | TYPE: RBRACE       | POS:   1008 | VALUE: '}'
LINE   45 | TYPE: RBRACE       | POS:   1014 | VALUE: '}'
LINE   49 | TYPE: IF           | POS:   1057 | VALUE: 'if'
LINE   49 | TYPE: ID           | POS:   1060 | VALUE: 'x'
LINE   49 | TYPE: EQUAL        | POS:   1062 | VALUE: '=='
LINE   49 | TYPE: INTEGER      | POS:   1065 | VALUE: 100
LINE   49 | TYPE: LBRACE       | POS:   1069 | VALUE: '{'
LINE   50 | TYPE: PRINTLN      | POS:   1079 | VALUE: 'println'
LINE   50 | TYPE: NOT          | POS:   1086 | VALUE: '!'
LINE   50 | TYPE: LPAREN       | POS:   1087 | VALUE: '('
LINE   50 | TYPE: STRING       | POS:   1088 | VALUE: 'x es 100'
LINE   50 | TYPE: RPAREN       | POS:   1098 | VALUE: ')'
LINE   50 | TYPE: SEMICOLON    | POS:   1099 | VALUE: ';'
LINE   51 | TYPE: RBRACE       | POS:   1105 | VALUE: '}'
LINE   51 | TYPE: ELSE         | POS:   1107 | VALUE: 'else'
LINE   51 | TYPE: LBRACE       | POS:   1112 | VALUE: '{'
LINE   52 | TYPE: IF           | POS:   1122 | VALUE: 'if'
LINE   52 | TYPE: ID           | POS:   1125 | VALUE: 'x'
LINE   52 | TYPE: NOT_EQUAL    | POS:   1127 | VALUE: '!='
LINE   52 | TYPE: ASSIGN       | POS:   1129 | VALUE: '='
LINE   52 | TYPE: INTEGER      | POS:   1131 | VALUE: 100
LINE   52 | TYPE: LBRACE       | POS:   1135 | VALUE: '{'
LINE   53 | TYPE: PRINTLN      | POS:   1149 | VALUE: 'println'
LINE   53 | TYPE: NOT          | POS:   1156 | VALUE: '!'
LINE   53 | TYPE: LPAREN       | POS:   1157 | VALUE: '('
LINE   53 | TYPE: STRING       | POS:   1158 | VALUE: 'x no es 100'
LINE   53 | TYPE: RPAREN       | POS:   1171 | VALUE: ')'
LINE   53 | TYPE: SEMICOLON    | POS:   1172 | VALUE: ';'
LINE   54 | TYPE: RBRACE       | POS:   1182 | VALUE: '}'
LINE   55 | TYPE: RBRACE       | POS:   1188 | VALUE: '}'
LINE   59 | TYPE: LET          | POS:   1237 | VALUE: 'let'
LINE   59 | TYPE: ID           | POS:   1241 | VALUE: 'result'
LINE   59 | TYPE: ASSIGN       | POS:   1248 | VALUE: '='
LINE   59 | TYPE: ID           | POS:   1250 | VALUE: 'suma'
LINE   59 | TYPE: LPAREN       | POS:   1254 | VALUE: '('
LINE   59 | TYPE: INTEGER      | POS:   1255 | VALUE: 5
LINE   59 | TYPE: COMMA        | POS:   1256 | VALUE: ','
LINE   59 | TYPE: INTEGER      | POS:   1258 | VALUE: 10
LINE   59 | TYPE: RPAREN       | POS:   1260 | VALUE: ')'
LINE   59 | TYPE: SEMICOLON    | POS:   1261 | VALUE: ';'
LINE   63 | TYPE: LET          | POS:   1296 | VALUE: 'let'
LINE   63 | TYPE: ID           | POS:   1300 | VALUE: 'mix'
LINE   63 | TYPE: ASSIGN       | POS:   1304 | VALUE: '='
LINE   63 | TYPE: INTEGER      | POS:   1306 | VALUE: 10
