LEXICO LOG - file: algoritmo3.rs
Generated: 2025-11-17T23:38:04.659648
User: RUCO_HOUSE
============================================================

TOKENS
------------------------------------------------------------
LINE    6 | TYPE: FN           | POS:     66 | VALUE: 'fn'
LINE   67 | TYPE: SEMICOLON    | POS:   1421 | VALUE: ';'
LINE   68 | TYPE: PRINTLN      | POS:   1439 | VALUE: 'println'
LINE   68 | TYPE: NOT          | POS:   1446 | VALUE: '!'
LINE   68 | TYPE: LPAREN       | POS:   1447 | VALUE: '('
LINE   68 | TYPE: ID           | POS:   1448 | VALUE: 'i'
LINE   68 | TYPE: RPAREN       | POS:   1449 | VALUE: ')'
LINE   68 | TYPE: SEMICOLON    | POS:   1450 | VALUE: ';'
LINE   69 | TYPE: RBRACE       | POS:   1464 | VALUE: '}'
LINE   70 | TYPE: RBRACE       | POS:   1474 | VALUE: '}'
LINE   71 | TYPE: RBRACE       | POS:   1480 | VALUE: '}'
LINE   75 | TYPE: IF           | POS:   1526 | VALUE: 'if'
LINE   75 | TYPE: ID           | POS:   1529 | VALUE: 'x'
LINE   75 | TYPE: EQUAL        | POS:   1531 | VALUE: '=='
LINE   75 | TYPE: INTEGER      | POS:   1534 | VALUE: 100
LINE   75 | TYPE: LBRACE       | POS:   1538 | VALUE: '{'
LINE   76 | TYPE: PRINTLN      | POS:   1548 | VALUE: 'println'
LINE   76 | TYPE: NOT          | POS:   1555 | VALUE: '!'
LINE   76 | TYPE: LPAREN       | POS:   1556 | VALUE: '('
LINE   76 | TYPE: STRING       | POS:   1557 | VALUE: 'x es 100'
LINE   76 | TYPE: RPAREN       | POS:   1567 | VALUE: ')'
LINE   76 | TYPE: SEMICOLON    | POS:   1568 | VALUE: ';'
LINE   77 | TYPE: RBRACE       | POS:   1574 | VALUE: '}'
LINE   77 | TYPE: ELSE         | POS:   1576 | VALUE: 'else'
LINE   77 | TYPE: LBRACE       | POS:   1581 | VALUE: '{'
LINE   80 | TYPE: IF           | POS:   1663 | VALUE: 'if'
LINE   80 | TYPE: ID           | POS:   1666 | VALUE: 'x'
LINE   80 | TYPE: NOT_EQUAL    | POS:   1668 | VALUE: '!='
LINE   80 | TYPE: INTEGER      | POS:   1671 | VALUE: 100
LINE   80 | TYPE: LBRACE       | POS:   1675 | VALUE: '{'
LINE   81 | TYPE: PRINTLN      | POS:   1689 | VALUE: 'println'
LINE   81 | TYPE: NOT          | POS:   1696 | VALUE: '!'
LINE   81 | TYPE: LPAREN       | POS:   1697 | VALUE: '('
LINE   81 | TYPE: STRING       | POS:   1698 | VALUE: 'x no es 100'
LINE   81 | TYPE: RPAREN       | POS:   1711 | VALUE: ')'
LINE   81 | TYPE: SEMICOLON    | POS:   1712 | VALUE: ';'
LINE   82 | TYPE: RBRACE       | POS:   1722 | VALUE: '}'
LINE   83 | TYPE: RBRACE       | POS:   1728 | VALUE: '}'
LINE   89 | TYPE: LET          | POS:   1851 | VALUE: 'let'
LINE   89 | TYPE: ID           | POS:   1855 | VALUE: 'result'
LINE   89 | TYPE: ASSIGN       | POS:   1862 | VALUE: '='
LINE   89 | TYPE: ID           | POS:   1864 | VALUE: 'suma'
LINE   89 | TYPE: LPAREN       | POS:   1868 | VALUE: '('
LINE   89 | TYPE: INTEGER      | POS:   1869 | VALUE: 5
LINE   89 | TYPE: COMMA        | POS:   1870 | VALUE: ','
LINE   89 | TYPE: INTEGER      | POS:   1872 | VALUE: 10
LINE   89 | TYPE: RPAREN       | POS:   1874 | VALUE: ')'
LINE   89 | TYPE: SEMICOLON    | POS:   1875 | VALUE: ';'
LINE   93 | TYPE: LET          | POS:   1918 | VALUE: 'let'
LINE   93 | TYPE: ID           | POS:   1922 | VALUE: 'mix'
LINE   93 | TYPE: ASSIGN       | POS:   1926 | VALUE: '='
LINE   93 | TYPE: INTEGER      | POS:   1928 | VALUE: 10
LINE   93 | TYPE: PLUS         | POS:   1931 | VALUE: '+'
LINE   93 | TYPE: INTEGER      | POS:   1933 | VALUE: 2
LINE   93 | TYPE: MULTIPLY     | POS:   1935 | VALUE: '*'
LINE   93 | TYPE: INTEGER      | POS:   1937 | VALUE: 3
LINE   93 | TYPE: MINUS        | POS:   1939 | VALUE: '-'
LINE   93 | TYPE: INTEGER      | POS:   1941 | VALUE: 1
LINE   93 | TYPE: MODULO       | POS:   1943 | VALUE: '%'
LINE   93 | TYPE: INTEGER      | POS:   1945 | VALUE: 2
LINE   93 | TYPE: SEMICOLON    | POS:   1946 | VALUE: ';'
LINE   94 | TYPE: RBRACE       | POS:   1948 | VALUE: '}'

------------------------------------------------------------

ERRORS / LEXER OUTPUT
------------------------------------------------------------
No errors reported by lexer (t_error did not print anything).
